Starting optimization with 40...

Quasi-Newton Method with Limited-Memory BFGS
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Quasi-Newton Method status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     ls_#fval  ls_#grad  
  0     1.347975e-02   1.663790e-01   
  1     9.596037e-03   2.385411e-01   1.663790e-01   2         2         1         0         
  2     1.825401e-03   4.960141e-02   6.421179e-02   3         3         1         0         
  3     8.734121e-04   3.220005e-02   2.541860e-02   4         4         1         0         
  4     5.737959e-05   1.204862e-02   4.798187e-02   5         5         1         0         
  5     2.714031e-05   9.882699e-03   1.136324e-02   6         6         1         0         
  6     8.311156e-06   2.626156e-03   3.941178e-03   7         7         1         0         
  7     6.258636e-06   1.645695e-03   1.090613e-03   8         8         1         0         
  8     3.577761e-06   1.079672e-03   2.744713e-03   9         9         1         0         
  9     2.194439e-06   7.804016e-04   2.308408e-03   10        10        1         0         
  10    1.060180e-06   8.213118e-04   3.563776e-03   11        11        1         0         
  11    7.060905e-07   9.203677e-04   2.972835e-03   12        12        1         0         
  12    3.510472e-07   3.376127e-04   8.285348e-04   13        13        1         0         
  13    2.594235e-07   2.011528e-04   4.635496e-04   14        14        1         0         
  14    1.822663e-07   1.763114e-04   7.627952e-04   15        15        1         0         
  15    1.140520e-07   2.041213e-04   9.644898e-04   16        16        1         0         
  16    7.897605e-08   1.205113e-04   7.290873e-04   17        17        1         0         
  17    6.032731e-08   1.004310e-04   3.205299e-04   18        18        1         0         
  18    3.688929e-08   7.931427e-05   6.777616e-04   19        19        1         0         
  19    2.819842e-08   1.126925e-04   4.879821e-04   20        20        1         0         
  20    2.107049e-08   5.512518e-05   1.539301e-04   21        21        1         0         
  21    1.484130e-08   5.215477e-05   2.739326e-04   22        22        1         0         
  22    1.024522e-08   5.761072e-05   2.854952e-04   23        23        1         0         
  23    4.876899e-09   5.437386e-05   4.888046e-04   24        24        1         0         
  24    3.938227e-09   2.667778e-05   1.132121e-04   26        25        2         0         
  25    3.603123e-09   1.142383e-05   4.107103e-05   27        26        1         0         
  26    3.453830e-09   9.173712e-06   2.245734e-05   28        27        1         0         
  27    3.277875e-09   1.220690e-05   3.230493e-05   29        28        1         0         
  28    3.007544e-09   1.418195e-05   6.657484e-05   30        29        1         0         
  29    2.603702e-09   1.268220e-05   1.098154e-04   31        30        1         0         
  30    2.138023e-09   2.029912e-05   2.467479e-04   32        31        1         0         
  31    1.711402e-09   1.129093e-05   1.701522e-04   33        32        1         0         
  32    1.504641e-09   7.128702e-06   3.551737e-05   34        33        1         0         
  33    1.356815e-09   5.725665e-06   6.513972e-05   35        34        1         0         
  34    1.266903e-09   8.398632e-06   7.733246e-05   36        35        1         0         
