Starting optimization with 100...

Newton-Krylov using GMRES with Limited-Memory BFGS preconditioning
Line Search: Backtracking satisfying Null Curvature Condition
-------------------------------------------------------------------------------------------------------------
Newton-Krylov status output definitions

  iter     - Number of iterates (steps taken) 
  value    - Objective function value 
  gnorm    - Norm of the gradient
  snorm    - Norm of the step (update to optimization vector)
  #fval    - Cumulative number of times the objective function was evaluated
  #grad    - Number of times the gradient was computed
  iterCG   - Number of Krylov iterations used to compute search direction
  flagCG   - Krylov solver flag
-------------------------------------------------------------------------------------------------------------
  iter  value          gnorm          snorm          #fval     #grad     iterCG    flagCG    ls_#fval  ls_#grad  
  0     1.428645e-02   1.270314e-01   
  1     7.662836e-03   9.586720e-02   4.114529e+03   4         2         69        0         3         0         
  2     1.700141e-03   4.416818e-02   8.936052e+03   6         3         67        0         2         0         
  3     4.087809e-04   2.231736e-02   1.411430e+04   8         4         76        0         2         0         
  4     1.302552e-04   6.399122e-03   1.019639e+04   9         5         65        0         1         0         
  5     1.255073e-05   1.568489e-03   3.119220e+03   10        6         61        0         1         0         
  6     5.721428e-06   2.671266e-03   1.647510e+03   11        7         63        0         1         0         
  7     5.282243e-06   2.334438e-03   2.874863e+02   15        8         61        0         4         0         
  8     5.184572e-06   2.605334e-03   8.544399e+01   19        9         62        0         4         0         
  9     1.316374e-06   2.602437e-04   1.133626e+03   20        10        59        0         1         0         
  10    8.840828e-07   7.765669e-04   6.346503e+02   24        11        123       0         4         0         
  11    7.475079e-08   2.097425e-04   2.250590e+03   25        12        63        0         1         0         
  12    3.779141e-08   1.161573e-04   2.987836e+02   27        13        63        0         2         0         
  13    5.681397e-09   5.352550e-05   7.005657e+02   28        14        61        0         1         0         
  14    4.219942e-09   4.228927e-05   6.567805e+02   29        15        61        0         1         0         
  15    6.648156e-10   3.901447e-07   9.732967e+01   30        16        60        0         1         0         
  16    6.495088e-10   8.282012e-06   8.012167e+01   35        17        115       0         5         0         
  17    6.101127e-10   6.504681e-06   7.377362e+01   37        18        63        0         2         0         
  18    5.684442e-10   3.849521e-06   7.005573e+01   39        19        66        0         2         0         
  19    5.608105e-10   8.051608e-06   4.368541e+01   42        20        78        0         3         0         
  20    4.987844e-10   4.056488e-06   2.058401e+01   43        21        62        0         1         0         
  21    4.600332e-10   6.045548e-06   6.029949e+01   47        22        63        0         4         0         
  22    4.098810e-10   1.071049e-05   9.748357e+01   49        23        63        0         2         0         
  23    3.594678e-10   4.351068e-06   1.403217e+02   50        24        59        0         1         0         
  24    3.280868e-10   5.559438e-06   5.435385e+01   53        25        64        0         3         0         
  25    2.696354e-10   8.495503e-06   5.500232e+01   54        26        62        0         1         0         
  26    2.143185e-10   6.224905e-07   2.819277e+01   55        27        58        0         1         0         
  27    1.823984e-10   3.802068e-06   7.137274e+01   59        28        75        0         4         0         
  28    1.721398e-10   1.098913e-05   7.626566e+01   61        29        62        0         2         0         
  29    1.275856e-10   1.198522e-06   1.844044e+01   62        30        54        0         1         0         
  30    1.088671e-10   5.427752e-06   4.149879e+01   66        31        63        0         4         0         
  31    8.265428e-11   1.016939e-06   1.536887e+01   67        32        62        0         1         0         
  32    7.025835e-11   5.792778e-06   5.139389e+01   70        33        64        0         3         0         
  33    4.809361e-11   1.491193e-06   3.419015e+01   71        34        54        0         1         0         
  34    3.611141e-11   3.777138e-06   2.704239e+01   73        35        60        0         2         0         
  35    2.543946e-11   3.203398e-07   3.838608e+01   74        36        56        0         1         0         
  36    2.519018e-11   7.496206e-07   4.808157e+00   80        37        82        0         6         0         
  37    1.993265e-11   1.840900e-06   1.281689e+01   83        38        64        0         3         0         
  38    1.597659e-11   7.594475e-07   1.060108e+01   84        39        59        0         1         0         
  39    1.512813e-11   1.064273e-06   3.560732e+00   89        40        63        0         5         0         
  40    1.298520e-11   4.274398e-07   4.840772e+01   90        41        62        0         1         0         
  41    1.259541e-11   1.207310e-06   2.689066e+01   94        42        64        0         4         0         
  42    1.197391e-11   6.299851e-07   2.538482e+01   96        43        60        0         2         0         
  43    1.138692e-11   1.644768e-06   5.862608e+00   100       44        64        0         4         0         
  44    8.776535e-12   6.070209e-07   5.321376e+01   101       45        57        0         1         0         
  45    8.140949e-12   2.718297e-06   2.742635e+01   102       46        63        0         1         0         
  46    4.487041e-12   6.122717e-08   1.679031e+01   103       47        54        0         1         0         
Optimization Terminated with Status: Converged
The process took 1408.5 seconds to run.
Total n_vmult for algorithm 260634
